country,totalG,code
Afghanistan,1127331.0,AFG
Argentina,21692809.0,ARG
Aruba,10076136.0,ABW
Australia,1688648202.0,AUS
Bahamas,,BHS
Belgium,1361133.0,BEL
Brazil,13562870.0,BRA
Bulgaria,,BGR
Cambodia,,KHM
Cameroon,32631.0,CMR
Canada,1615108801.0,CAN
Chile,12188642.0,CHL
China,268717774.0,CHN
Colombia,6517198.0,COL
Czech Republic,3884316.0,
Denmark,12766222.0,DNK
Dominican Republic,,DOM
Egypt,,EGY
Finland,611709.0,FIN
France,1978421823.0,FRA
Georgia,17149.0,GEO
Germany,2462603234.0,DEU
Greece,3817991.0,GRC
Hong Kong,180171739.0,HKG
Hungary,23375191.0,HUN
Iceland,31794.0,ISL
India,50811269.0,IND
Indonesia,4105123.0,IDN
Iran,9697674.0,
Ireland,70336300.0,IRL
Israel,4881952.0,ISR
Italy,37897079.0,ITA
Japan,570412925.0,JPN
Kenya,,KEN
Kyrgyzstan,,KGZ
Libya,,LBY
Mexico,104616255.0,MEX
Netherlands,5654665.0,NLD
New Line,6712451.0,
New Zealand,1298160522.0,NZL
Nigeria,,NGA
Norway,1804549.0,NOR
Official site,20218921.0,
Pakistan,,PAK
Panama,,PAN
Peru,57362581.0,PER
Philippines,70071.0,PHL
Poland,5699549.0,POL
Romania,18201973.0,ROU
Russia,14959807.0,
Slovakia,,SVK
Slovenia,,SVN
South Africa,160740241.0,ZAF
South Korea,22318331.0,
Soviet Union,,
Spain,229749472.0,ESP
Sweden,380435.0,SWE
Switzerland,,CHE
Taiwan,128681364.0,
Thailand,13011623.0,THA
Turkey,,TUR
UK,118081995.0,
USA,1786192543.0,
United Arab Emirates,,ARE
West Germany,11433134.0,
